,Quote,Keyword
3153,"The system created by the divine ones segregates every single person into his living assignment in the world, determines his roles and controls them...the melancholy voices of those born into this world have pierced the depths of my heart. I feel the need to do something for them without discriminating against anyone.",system
3154,The double grief of a lost bliss is to recall its happy hour in pain.,double
3155,"Well, everyone's unsure of their fighting abilities. When that happens, just train more! When you're afraid, just train! When something doesn't feel right, just train! When you don't believe in yourself anymore, just train! The only thing that won't betray you is your training.",thing
3156,"Even the most noble of the sacrifices is based on ""self satisfaction"". Jesus Christ himself was crucified for the sake of his people for ""self satisfaction"". That's why you shouldn't expect anything in return when you help someone. Because the moment you expect something, your act would become worthless.",moment you expect
3157,Only brute warriors find glory in destruction!  ,brute
3158,"A king must live a life more vivid than any other and be figure for all to admire! The king is the one who collects the envy of all his heroes and stands as their guide! Therefore, the king is not alone! For his will equals that of all his followers combined!",equals
3159,A miracle something like that won't come if you're waiting for it. A miracle is something you work for!,work
3160,"Only two kinds of people exist in this world, those who steal and those who are stolen from.",kinds
3161,Time never comes back once it’s gone.,back
3162,"Is it really worth saving this sad and ugly world, when there is nothing left after it is saved? With all this death, cruelty and sadness, do you still want to become a hero?",death
3163,We're all the same. No one really remembers the day he was born. We all have to trust another's word on the matter. It doesn't matter if it's true or not. Just having a birthday makes one happy I think.,birthday makes
3164,He who forgives and acknowledges himself... that is what it truly means to be strong!,forgives
3165,"Let us talk about the brain. The brain is said to be the place where our consciousness resides. As we speak, each of us possesses our own distinct consciousness. We are all experiencing reality through our own point of view. To each of us, reality unfolds as a unique story as a result of our consciousness. However, looking to the outside from this box called the self, reality is subjective. ",unfolds
3166,"Dear me - how pitiful. A monster like me, lagging from such a small wound?",monster
3167,Do you think your sin will disappear if you lie?,sin
3168,"People who can see get to choose... if you want them to know you can see. To pretend to be able to see, even when you can't... Or to pretend that you can't see even when you can.",pretend
3169,I am not so noble that I would stake my life for someone else. Nor am I so forgiving that I would sit by and allow someone to trample me. I am selfish... and self righteous human being! That's why! I... to clear my own shame... I used your power. Not for anyone else! But for myself!,clear
3170,You don't get to choose who you fall for. The heart doesn't always work the way you want it to. You should just follow your feelings honestly. You'll be happier that way.,happier
3171,"No matter how you look, as long as your judgement is clouded you won't find the truth.",matter
3172,The best way to succeed is to use your own abilities to the fullest.,succeed
3173,"Such shallow emotions evoked by simple and cheerful stories won't solve anything! What people need is a more tangible sense of values with which to resolve the conflicts of everyday life! Even if that causes others to think of you as warped, as long as you can remain true to yourself until the moment you die",remain true
3174,"Wherever there is hope, there is most definitely despair.",hope
3175,"I hate people with a big heart. All they do is look down on you from above. They don’t give a damn about the petty struggles of the people serving under them. If that’s what it means to be a king, then that’s just sad and pathetic. ",sad
3176,Not many can do the “right thing” when it counts. ,thing
3177,"We all live under the same sky. If each of us learns to shine, it won't matter how far apart we are. We'll be able to see each other.",learns
3178,"As long as no one got hurt, it's all good. Who cares who saved who?",cares
3179,"You don’t need a good reason to save a friend. If you want to save them, then save them. I know someone who kept saying those stupid things even when he was driven to the brink of death, and he really did save over 10,000 people in the end. And that idiot that saved so many people is trying to save someone today like always. I know I can’t stop him. No matter how much I don’t want him to do anything dangerous, seeing him off with a push to the back is the sign of a good woman!",dangerous
3180,"If you want to do something and have the power for it, then do it!",power
3181,I can only say that the human curiosity is something completely irrational.,human
3182,"Those stars look like they're close to each other, but they're actually very far away, aren't they? It's like Kitamura-kun and I. The things you see aren't always real. How hard must I try in order to understand the unseen truth? ",hard
3183,Human potential for evolution is limitless.,potential
3184,"There are people out there who would say there's nothing more important than love. But is love really that great? There are women, who because of love, get chased around by men. And there are men, who because of love, get killed by women. To put it down, for love to be so great, there's gotta be something else behind it that's even greater.",killed by women
3185," Time passes, people move. Like a river's flow, it never ends. A childish mind will turn to noble ambition. Young love will become deep affection. The clear water's surface reflects growth. Now listen to the Serenade of water to reflect upon yourself.",childish mind
3187,"It's fine even if you're useless right now. As long as you keep looking towards the future, I'm sure a day will come when you'll find your worth.",long
3188,Even the hardest of things can shatter when one little crack appears.,hardest
3189,"There is one thing I've learned here. To keep doing your best, up until the very end.",end
3190,"Somewhere along the line, I had decided that I can't interact with others. That I have no choice but to be alone, but I've found a new reason to stay. It's because everyone is alone, senpai. Everyone is all alone.",choice
3191,"Just as there is a light at night and darkness in the day, there will always be darkness in the world. At the same time, the world will never be engulfed by the darkness. In that mix of ambiguous colors, everything moves on: our fates determined...",mix
3192,"A person can work for their ideals. But if you lose sight of those ideals, when things don't work out as you hoped, you'll never accomplish anything! You won't be able to protect yourself or those dear to you.",protect
3193,"The heart may be weak and sometimes it may even give in, but I've learned that deep down, there's a light that never goes out! ",heart
3194,"A drama has a progressive thought, an emotional climax and a resolution, but our lives aren't like that. All we get day after day, are a bunch of vague anxieties that are never really resolved.",day after day
3195,"If you don't see her, you won't fall in love. If you don't fall in love, you won't get hurt.",hurt
3196,Stop trying to change things that can't be changed. The past is the past and you have to let it go and embrace the future.,embrace
3197,"There's something that cannot be expressed in words: human emotion. Emotions of the heart can't be just tucked away in a closet. There's a way to know the emotions: look into the eyes. The gentleman lied to me when I trusted him, but the moment I looked into his eyes the angel of destiny began to unravel the truth. Just look into their eyes, there is only one truth.",gentleman
3198,"A hint is one thing, but simply sharing the answer it leads to is dangerous.",hint
3199,"A pistol’s job is what its handler chooses. If I don’t wanna shoot, then I won’t.",wanna
3200,"If there's an ugly truth, a beautiful truth must exist too. Stories aren't purely ugly. They're not purely tragic or sad either. There are tender things and beautiful things in there.",things and beautiful
3201,I believe that some truths should never be known.,truths
3202,"What is true happiness? Everyone seeks the land of happiness as if they're on a pilgrimage. They try to walk there. Still, no matter who they are, at times they become tired. Stories exist for those times. If you open the covers, you'll encounter someone else's imagination. If you feel lonely on your own, try reading a book. Try to imagine what the author was thinking, what he wanted to say. Then you might be able to obtain something wonderful.",wonderful
3203,I just don't understand the reason why humans continue living on all the while as our individual egos hurt each other...,understand
3204,"I wonder why it is, that people fall in love with others? I think that to seek out love even when you already have a nice family is being greedy. No matter how much you like another person, you can never be with that person forever... But I dislike that. I don't care if I have to throw away everything else. I just want you to look at me.",care
3205,"True happiness only lasts for a brief time, so you better enjoy it while you can, right?",happiness
3206,The difference in ability... What about it? Do you think I should give up just because you're stronger than me?,give
3207,"Memories - they can sometimes become vague and foggy and there are times when they disappear altogether. Therefore, because there are many things I don't want to lose track of, I will record everything in here (his diary) for the sake of those moments that should not be forgotten.",things
3208,It is only through the eyes of others that our lives have any meaning.,eyes
3209,Don't believe in the you that believes in me and don't believe in the me that believes in you. Believe in the you that believes in yourself.,raw
3210,"I want to become weak and if that's not possible, then I at least want to make friends that are as strong as me.",weak
3211,"If you give me wings, I will soar for you even if this whole land sinks down to the water. If you give me a sword, I will fight for you even if this whole sky shoots through with your light.",fight
3212,"I wanted to hurt you, make you suffer, and make sure that you'd never forget me.",wanted
3213,In my family,family
3214,Don't underestimate me! I don't quit and I don't run! You can act tough all you want! You're not gonna scare me off! No way! I don't care if I DO get stuck as a Genin for the rest of my life! I'll still be Hokage someday!,care
3215,"The right to use my friends as a weapon, that is the sinful crown I shall adorn.",friends
3216,"No matter how colossal a power you obtain, no matter how gigantic an army you bring with you, I ain't scared. While you've abandoned a hundred, I've connected with a thousand. While you've destroyed a thousand, I've been helped by ten thousand. So what's an army of a few thousand? We have protected everything as just three people. We're the Yorozuya.",destroyed a thousand
3217,"People can be so mean, no matter what you've done for them they will believe the first cheap rumor they hear. In the end they only care about themselves. ",end
3218,"What do you think are the most important things in life? Money, dreams, sympathy towards others... Yes, they're all important things as well... But the most important thing is responsibility for your own actions. ",thing is responsibility
3219,"There're a lot of people who want to be in despair just so they can pity themselves... But I think it's a waste of time, that's all. After all, you're the one who wishes to be left alone and refuses to share your pain with anyone else.",wishes
3220,"I hate it when knowledge is misused by people who have lost sight of reality, due to biased perceptions and prejudices. It is the source of misunderstanding, ignorance and conflict. I want us to understand each other.",hate
3221,"Sometimes the blood rushes to my head and I feel like, if I run I'll lose something important.",blood
3222,"In this moment, I am euphoric. Not because of any phony Shinobi's blessing. But because, I'm enlightened by my intelligence.",enlightened
3223,"Embrace your dreams. If you want to be a hero, you need to have dreams.",hero
3224,"If all things are in fact preordained, then why... why is humanity able to think for itself?",humanity
3225,In this world is the destiny of mankind controlled by some transcendental entity or law? Is it like the hand of god hovering from above? Perhaps men have no control even over their own will.,men
3226,"You trusted me, so I'll trust you too. That's what being friends means, doesn't it?",friends
3227,"Knowledge and awareness are vague, and perhaps better called illusions. Everyone lives within their own subjective interpretation.",lives
3228,Learn to embrace the fear of feeling about what it's like to contemplate what it is to know true pain. Because when I had nothing and no one - I always had Pain.,embrace
3229,"There's nothing unusual here… The appropriate one stands in the appropriate place after the inappropriate ones have collapsed to the ground, defeated. There is nothing unexpected or odd about it. Because this is reality. Not one shred of uncertainty exists here. Not even fear, of course…",shred
3230,"I don't want fear for a future, that may not even come, to stop me from acting today.",fear
3231,"I'll never show you my tears. These are the tears of those who died with regrets. If there's a way to take away these regrets, I'll make sure I'll find it. If it's fear that you speak of, then I'll stand and face it. I'll never give up. The only time I lose is when I die!",time
3232,"Sitting there in the dark, I had the chance to think about a lot of things, including the nature of the world itself. And after lengthy consideration, I realized something",lengthy
3233,"There is no inherent right or wrong in this world, those labels are just artificial constructs. Right and wrong are held by positions of authority. That is the way it's always been, so how then could anyone know this truth you speak of? Don't you see the reality is that truth long ago became nothing more than a shadow of itself",reality
3234,Those who do not want to advance spiritually are fools.,advance
3235,"It's only natural for the girl you're crushing on to be in love with someone else. Since you're in love with her, she sparkles in your eyes. That's why people fall so irrationally in love.",people
3236,Rules make the world work. They don't protect you.,protect
3237,"Upon researching the concept of demons, I believe that, among all life, humans are the closest thing to it.",researching
3238,Be more confident despite your weaknesses and failures.,confident
3239,"I choose my own battlefields. Not by my blood, but by my heart! I stand on the battlefield to protect what's important to me. And if anyone stands in my way, I don't care if it's one of my kind, my brother or anyone else… I'll crush them all!",care
3240,You can change fate as long as you believe you can.,change
3241,"If you just submit yourself to fate, then that's the end of it.",submit
3242,Everybody makes a wrong turn once in a while.,makes
3243,"No matter how cold and distant people may become, on the inside something warm and precious always remains, something that never changes. To me, that’s what family is like.",family
3244,"If you hurt someone, you must be prepared to receive the same amount in return.",hurt
3245,"(About Sakura) Was she having fun in her little make-believe fantasy of true love? As for me, I have absolutely no reason to love her and likewise, I can see no reason why she would love me.",reason to love
3246,The weight of a sin depends on the person measuring it.,weight
3247,"They say some defeats are meaningful and losing makes you stronger. Do you understand what that means? For living creatures victory is life, and defeat means death. It's an extreme example, but humans retain that instinct. Those who know the terror of defeat, hunger for victory.",defeats
3248,"It’s natural to want to stay in the game world and hope the game will never end. However, I’ve learned one thing from playing all those online games. There’s nothing lonelier or sadder than the end of a game with no ending. More and more players get bored and move on to other games... And one day, even NPC's like your favorite blacksmith or landlady disappear forever as they smile. I've experienced that moment and cried many, many times. That isn't how games should end. It definitely isn't!",’ve
3249,"The real fun is in constantly pushing beyond your limits. So if you're thinking of everything as a game, you won't be able to fully experience it.",thinking
3250,"I've only just started to understand it myself. That by depending on others, and letting them depend on you, people can exceed what they can do as individuals.",depending
3251,"People make a lot of mistakes, and strength is necessary to straighten those out.",make
3252,You’re too kind. Remember this and take it to heart: kindness sometimes leads to even greater tragedy.,leads
3253,"I came to realize something. Parenthesis are amazing! No matter how negative something sounds, if you throw ""LOL"" in some parentheses behind it - it becomes positive!",matter
3254,Don't just accept loss or defeat! Accept it after you're dead. If you lose without dying... it means that luck is on your side. If that happens - focus on surviving! Survive and Kill the one who couldn't kill YOU!,Survive and Kill
3255,"If you like, you can stay over here tonight. If you're lucky, you may see some cannibalism and that's always fun...",cannibalism
3256,I  can neither live with you. Nor without you.,live
3257,"The longer you live... The more you realize that reality is just made of pain, suffering and emptiness...",realize
3258,"If failure is the hallmark of being young, like they say. then someone who has failed to make friends must be at the peak of his youth, right? However, I'm sure they will disagree. All of this is just their double standards at play and nothing else. Here's the bottom line: Fools that enjoy their youth should go kill themselves.",double standards
3259,"About marriage or about future, I don't know what will happen in the future. In this world, it's normal that when there's a preparation, then a new grief is born, but everyone has the right to desire happiness. Our efforts need to be held for the sake of our future.",efforts
3260,Forcing yourself to like something you don't like brings sorrow.,brings
3261,Any treasure you attain without anyone ever working for it is no treasure at all.,attain
3262,Everything in this world is just a game and we are merely the pawns.,world
3263,When people get close to death they change.,people
3264,"In order to learn you may have to risk your life... no, even your soul.",soul
3265,Courage is the mindset of not surrendering even if you lack the strength.,mindset
3266,"I didn’t choose you. Don’t you see this is all just an accident. You actually thought you were chosen because you’re so smart or something? Don’t be so vain. It just happened to fall around here and you just happen to pick it up, and that’s all there is to it.",happened
3267,"Only I could do it! I was well aware that killing people is crime in itself! Yet at that point it was the only way to make things right! I thought to myself that someday people will come to realize this as much, and regard it as an act of justice! I had no choice but to act as Kira… it was the destiny given to me. I was chosen to renew this rotten world, to bring about true peace – a utopia.",chosen to renew
3268,"This world is rotten and those who are making it rot deserve to die. Someone has to do it, so why not me? Even if it means sacrificing my own mind and soul, it's worth it. Because the world... can't go on like this. I wonder... what if someone else had picked up this notebook? Is there anyone out there other than me who'd be willing to eliminate the vermin from the world? If I don't do it, then who will? That's just it: there's no one, but I can do it. In fact, I'm the only one who can. I'll do it. Using the death note, I'll change the world.",note
3269,"Wishes shouldn't be granted. They're better off not coming true. When their wishes aren't granted, people actually put in effort. It's because they don't come true that people make progress. But if all their wishes come true, people won't be able to move forward anymore, you know?",wishes come true
3270,"Violence, greed, slaughter, corruption, defeat, failure, immorality, humiliation… These are everywhere. As long as you live, you will face them.",long
3271,"I do want to die. But I want to die happily. Like I have for others, I want someone to wave me off. My friends, my wife, and my children... Making them mourn for me, making them long for me, and leaving things that I should have done behind... That is how I want to die.",leaving things
3272,"Someday, maybe you’ll find someone like you to share your pain with. I can’t tell you when that will happen.... But the important thing is to not reject them.",important
3273,"But there's nothing wrong about worrying. It's like a wall you need to overcome, to make it to the next level. If you're running up against that wall, it means you're moving forward. I wonder how many walls I've broken up until now, but if you won't move yourself, you will never get anywhere.",walls I broken
3274,In the end no one's going to protect you but yourself.,end
3275,"Life is like a playground swing, the higher and farther forward you go as you swing, it carries the risk of falling just as far back.",playground
3276,"When you trust someone and get to know them, you eventually learn about their wounds too.",trust
3277,A beast in human's clothing understands better than anyone how people want to be treated.,beast
3278,"I tried to carry on, while rejecting any relationships with others, but once you reject people, you're stuck. You lose the opportunity to meet someone and change.",lose
3279,"It’s like a doll house. You hang out together and pretend to be friends, but when it doesn’t suit them they abandon just you.",hang
3280,"If you haven't changed, that means you haven't improved.",changed
3281,"How did you learn of the reality that you speak of? The entire world is governed by the reasoning of dirty-minded adults. We're able to obscure reality according to our obsessions. We're never actually shown what reality is. In this case, the reality that you speak of is a half-baked nonsense that has been altered. Trying to conform this bullshit reality into the one you want is like trying to join two pieces of a puzzle that do not fit.",fit
3282,"Working hard alone doesn't assure you that you'll achieve your dreams. Actually there are more cases where you don't. Even so, working hard and achieving something is some consolation at least.",achieving
3283,Anime - it's not something that can be thought of in a hall for conferences. It is made out of strange juices current from the brain of animators.,made
3284,It's not too late to change ourselves and have a meaningful life.,late
3285,A person is very strong when he seeks to protect something.,person
3286,"If there's a miracle that can be reached by fighting to the end, then I want to see it.",miracle
3287,Not knowing everything in this world is fun.,knowing
3288,"Become strong not just for your own sake, but for your friends.",strong
3289,A victory won through dishonesty means it's no victory at all.,won
3290,"Even if your feelings or wishes do not come true, or if things don't go as you planned - on another road grows another flower. A new flower blooms there.",blooms
3291,"It doesn't matter what you achieve in life. It's how you live that really matters. Countless men have lost their lives in war without fulfilling their life's ambitions. Shiba stood by his convictions, no matter how lonely he got. So I think that in the end, he must've been happier than anyone.",stood
3292,"If you know pain and hardship, it's easier to be kind to others.",pain
3293,To take responsibility is to take the pain onto yourself. It means to bear more pain than what others felt because of your mistake. ,bear
3294,"People who grow up in different environments will invariably have different tastes and preferences. Therefore, could one say that the subsequent marriages necessarily lead to happiness?",subsequent
3295,"Though possessing two eyes, most creatures can see but a single thing at a time.",possessing
3296,"An idiot that knows he's an idiot, is even harder to deal with than an idiot that thinks he isn't.",harder
3297,"Love is like a mirror that reflects your bad side. Especially when it’s unrequited, you get envious, jealous, prejudiced, and resentful. You have to face all sorts of emotions, but there’s no reason to find that shameful. It shows how serious you are. Oh yeah, do you want me to tell you how to break that mirror? It’s not anything hard, understand the other person. That’s all. Don’t make any quick judgment and let them do the same.",face
3298,There are people in this world who don't understand that what they consider a harmless prank can deeply hurt someone else.,people
3299,Having someone saying you're okay as you are and being needed by that person... It was nice to have someone like that.,nice
3300,Death is the end of everything. Your past and future will be lost in an instant where there will be no second chance. However as long as you live there will be a chance of pulling a win.,chance of pulling
3301,"If you want to know what others think, you first have to say what you think.",raw
3302,"Just by living, people hurt others without even realizing it. So long as humanity exists, hate will also exist. There is no peace in this cursed world. War is just a crime paid for by the pain of the defeated...",crime
3303,"I know everyone has their stories of pain and sadness or things that they don't want to bring up, but if you can't be a good friend without telling that, then I don't need any friends at all!",friend
3304,"By depending on others and letting them depend on you, people can exceed what they can do as individuals.",depending
3305,A normal person looks away from what they don't want to see even though they know there are things they can only acquire if they face the things they hate.,normal
3306,"The reason doesn't matter. As long as tiny bit of hope exists, that's all that matters.",long
3307,"Once you miss the opportunity to say something, the words become increasingly toxic. The best thing to do is to just say everything.",thing
3308,"A farewell is like the other side of a coin. It will only happen when there is an encounter. Rather than dreading the day we have to part, shouldn't we be happy that we had the chance to meet today instead?",dreading
3309,"You can die anytime, but living takes true courage.",die
3310,"No matter what lies you tell, you can't fool your own heart.",matter
3311,"There are many different ways to solve a problem. But once it's solved, we must live our lives. Which means we should choose not the simplest solution, but the one that will allow us to feel the most at peace once it's done.",live our lives
3312,"Even if it's small, take a step forward.",step
3313,Change will never come about if you don't make it happen.,make
3314,"The second humans lose their comfort zone, the more simplistic their actions become.",humans
3315,"If you have memories no one else remembers, what's the point in remembering them?",memories
3316,Your past shouldn't stop you from achieving your goals and dreams.,past
3317,"Let me teach you a thing. Normally the weak person's weakness is the strong person, but the strong person's weakness is also the weak person.",teach
3318,"Sometimes, the blood rushes to my head and I feel like, if I run, I'll lose something important.",blood
3319,"Never give up without even trying. Do what you can, no matter how small the effect it may have!",matter how small
3320,"Once I'm dead, I won't even be able to remember you. So I'll win, no matter what. I'll live, no matter what!",live
3321,Being hurt on the outside is better than being hurt on the inside.,inside
3322,"I'll admit that you're stronger than before. But because of that, you seem to have lost sight of what's truly important. Now listen carefully. The people of the village, who once abhorred you, have begun to admire you. They think of you as a comrade. It's because you fought hard for their acceptance. You once said it was everyone who cares about you who helped you get where you are now. If you forget others because you have power, and become arrogant and egotistical, you'll eventually become just like Madara. No matter how powerful you become, do not try to shoulder everything alone. Becoming the Hokage doesn't mean people will acknowledge you. But when the people acknowledge you, you can become Hokage. Never forget your friends!",abhorred
3323,"The always naughty woodpecker. Today, too, you open holes and ruin the forest. The angry wood god turned your beak to poison. Poor woodpecker, your nest has been poisoned. Your food has been poisoned. If you touch your friends, they all die. The sad little woodpecker. Your tears of poison sparkle brightly...",open
3324,The ones who aren't able to acknowledge their own selves are bound to fail.,acknowledge
3325,"I understood that killing people was a crime. There was no other way! The world had to be fixed! A purpose given to me! Only I could do it. Who else could have done it, and come this far? Would they have kept going? The only one who can create a new world is me.",create
3326,People who continue to put their lives on the line to defend their faith become heroes and continue to exist on in legend.,put
3327,Everyone makes mistakes. What's important is how to make up for it.,important
3328,The world has too many heroes. It needs a monster.,monster
3329,"The truth is the truth, regardless of whether it comes out of a genius' mouth or a commoner's.",genius'
3330,"Marriage, the institution where one's existence goes to die. All married people prattle on about their so-called marital bliss about how they love saying ""I'm home!"" to their spouses, or how seeing their sleeping kids motivates them for tomorrow. But think about it: you can say ""I'm home!"" if you live your parents, you can even buy some mouthwash and say ""I'm home!"" to the hippos on the label. And if they're talking about seeing their sleeping kids, that just means they're working hellish overtime hours. How is that in any way blissful?",buy some mouthwash
3331,It seems that you still want to dance but... You will not be able to make steps anymore.,make
3332,No one cared who I was until I put on a mask.,cared
3333,"I'd be lying if I said things are going according to my plan... but beggars can't be choosers, right?",beggars
3334,"[Last words to Hashirama] As comrades, huh... well... if that's how... we... will.... *smiles*",words
3335,"....Would you consider dying together ""Teamwork"" as well?",dying
3336,"If you look away and just turn your back on those you don't understand, you'll regret it someday. Accept what's happening before your eyes as a fact. That's a shortcut to becoming an adult.",shortcut
3337,"I don't understand you! You said you don't love me, but you act like you do! Then you tell me to stay away. Do I have a chance or not?!",chance
3338,Try relying on others once in a while. No one asks what's wrong without wanting to hear the answer. ,wrong without wanting
3339,"No matter how painful, no matter how much solitary struggle awaits us, because we have joyous moments like this, we can face the challenges over and over again.",solitary
3340,"A choice isn't something someone gives you, it's something you make for yourself.",choice
3341,"Whether you walk or run, the destination won't change. So then... You might as well run there!!!",walk or run
3342,People's lives don't end when they die. It ends when they lose faith.,lose
3343,The scariest and the most painful thing is to be hated by someone you truly love.,scariest
3344,"People's feelings can change. You may hate someone today, but you might come to love that person tomorrow.",hate
3345,"It's difficult to make a girl smile, even as a grown-up. But you should never, ever, make a girl cry. And if you ever see a girl crying, help her. You might not be able to make her smile, but they'll know how you feel.",feel
3346,The probability of you remaining yourself until the day you die is extremely low. The hopeless spark you have now will be corrupted and in the most awful way there is.,hopeless
3347,Recklessness is the way of the young and tolerance is the beauty of adulthood.,young
3348,"You can steal the very last bite of my very best food. You can mock me all you want. But if you insult my best friend, I will obliterate you.",insult
3349,"Three times now... We've fought world wars for our own nations, our own villages. We've hurt one another. We've hated one another. That hatred bred a lust for power, and that lust for power created ME. I was a Jinchuuriki, the embodiment of hatred and power. And I hated this world, and all the people in it... I wanted to destroy it with my own hands. The exact same thing Akatsuki is trying to do today. But one man, one ninja from Konoha stopped me. I was his enemy, yet he wept for me! I hurt him, yet he called me his friend! He saved me! My enemy, my fellow Jinchuuriki... He suffered the same pain as me, yet bore no ill will! There are no enemies here because we've all suffered at Akatsuki's hand! SO THERE IS NO SAND, NO STONE, NO LEAF, NO MIST, NO CLOUD! THERE ARE ONLY SHINOBI! And if you still hold a grudge against the Sand, then when this war is over, come and take my head instead! Our enemies are after the friend who saved my life! If they take him, if we hand him over, our world is finished! I want to protect him, and I want to protect our world! But I'm too young to protect it all on my own! All of you lend me your aid!",Akatsuki hand
3350,Love requires no reason. That is what makes it love!,makes it love
3351,"I lost all of what you could call feelings of love. They weren't sealed, so they can't be released. They weren't broken, so they can't be fixed. That which is lost, cannot be recovered.",recovered
3352,"Even if we're not confident that we'll win, even if others tell us we don't stand a chance, we must never tell ourselves that.",confident
3353,"Any kind of life can go wrong, or sicken or suffer. Lives get old, decay, and finally die. Disliking that fact because it hurts, isn't any different than disliking life itself.",Disliking that fact
3354,"A world where everyone is equal and receives the same treatment. No such place exists. If there was a world of equality, where talent and aptitude didn't matter, we would all be equally snubbed there. ",talent and aptitude
3355,Whether you're a monster or human there's no difference in the value of someone's life.,monster
3356,"If you're going to dig, dig to pierce the heavens. Even if it's my grave I'm digging, I'll keep going! When I break through, that means I've WON! Who the hell do you think I am? I'm Simon. I'm not my bro, Kamina. I'm ME! Simon the Digger!",bro
3358,"All for one, one for all! There are times when a man has no choice but to act!",times
3359,"Now there's something I understand a little better. Hate, sadness, even joy. To be able to share it with another person... Naruto Uzumaki. From fighting him I learned that. He knew pain like I did and then he taught me that you can change your path. I wish that one day I can be needed by someone. Not as a frightening weapon... But as the sand's Kazekage.",knew
3360,"I'll marry you! No matter what kind of sickness you have! Even if you can't walk or stand, or even when you can't have kids! I'll still marry you! No matter where or how I meet you, I'll fall in love with you. If I can meet you again, against the 6 billion to 1 odds, and even if your body can't move, I'll marry you.",body
3361,"Don't beg for it, earn it. Do it, and you'll be rewarded.",rewarded
3362,I am who I am now because of my past. Calling any choice I made a mistake would be calling who I am now a mistake.,Calling any choice
3363,"You know, with talented people... They draw people to themselves, and without even trying to, they tear them to shreds. The closer you are to them, the more viciously you'll be torn apart. They're living in a completely different world above us. One that us normal people can't reach. In a world that we'll never see. A world above the clouds. That's the kind of world they live in.",completely different world
3364,"A sin, once committed, is never forgotten. It haunts you for all eternity.",haunts
3365,"They want to believe that's true and when someone wants to believe something is true, they usually will.",true
3366,Don't try to excuse yourself by saying you're doing it for someone else's sake. ,excuse
3367,"No one's more aware of discrimination than the ones being discriminated against, huh?",aware
3368,Being weak means that there is a room to grow.,weak
3369,"Hey God, if you're there, my life has really sucked. So please, for once, let me have a sweet dream.",sweet
3370,"Even if I can't see. Even if I can't hear. I have light inside me. The path I walked with my friends, is bringing light to my future. I don't fear anything! This isn't even worthy of being called pain! The worst pain is.. The pain of losing your light.",losing your light
3371,Don't mistake borrowed power for your own ability!,mistake
3372,All of the disadvantage in this world stems from a person's lack of ability.,disadvantage
3373,Real pain is the result of losing someone you care about.,pain
3374,"Old man, everyone!! And you.. Luffy. Even though I've been good for nothing my whole life, even though I have the blood of a demon within me... You guys still loved me! Thank you so much!!",guys still loved
3375,"If fate is a millstone, then we are the grist. There is nothing we can do. So I wish for strength. If I cannot protect them from the wheel, then give me a strong blade, and enough strength... to shatter fate.  ",shatter fate
3376,It's only the end if you give up!,end
3377,"Maybe we can't help feeling scared alone! But we're all right here, together! We've got out friends close by!",friends
3379,We know our weakness. Now what will we do?,weakness
3381,"""Checkmate"" doesn't mean you've simply cornered the enemy king. It's a declaration that the enemy king is yours. That's why I said it the first time I met you. ""Checkmate.""",time I met
3382,What kind of king makes his men fight at the front line while he sits behind them relaxing?,kind
3383,"Huh? In a real war, what fool waits for their enemy's ""turn""?",fool waits
3384,It's better for a man to be slow than fast. ,man
3385,"Being strong on your own is meaningless. To have power you need other people, and they need a world where they can be at their best.",power
3386,"Do you always want to live hiding behind the mask you put up for the sake of others?! You're you, and there's nothing wrong with that.",wrong
3387,"If you can't do something, then don't. Focus on what you can do.",Focus
3388,"What does it take to end a war? Well, if both sides wish for peace and set aside their hatred... No. Warfare is nothing but a means of negotiation between states. Wars break out even when there is no hatred. Territory, resources, or interests that you are determined to own. Ideology, religion, pride. Wars are fought over those objectives all the time. Meaning that when those objectives are met, the war will end. That, or the war will end when the human cost outweighs the gains. Anger and hatred are only tools to tilt a war in your favor. I'm not interested in those emotions. So I wouldn't hate anyone just because they're Martian.",Wars break
3389,"If lives were lost today, then lives were also born. How important each day is... Depends on how important you feel it is to you.",important you feel
3390,"When there is evil in this world that justice cannot defeat, would you taint your hands with evil to defeat evil? Or would you remain steadfast and righteous even if it means surrendering to evil?",surrendering to evil
3391,You're either an open pervert or a closet pervert!,open
3392,I pity you. You just don't get it at all... there's not a thing I don't cherish!,thing
3393,"Why did he smile? Why? Did he know he would be saved? No. In that instant, he must have understood that his life was going to end. Death. He accepted it. He was fully prepared for it and smiled.",fully
3394,"I lost my mother when I was 8...and killed my father when I was 10. Those with the title of ""Executive"" or above...are my ""family"", with whom I've shared my joys and sorrows. They're the only thing I have! I won't forgive anyone that laughs at my family. Understood?",forgive
3395,"You can't change anything unless you can discard part of yourself too. To surpass monsters, you must be willing to abandon your humanity.",surpass
3396,It doesn´t matter what day it is as long as you are happy.,n´t
3397,"Feel pain, think about pain, accept pain, know pain... Shinra Tensei!",Shinra
3398,"It's not because I'm lazy, it's just because I don't care.",lazy
3399,"You're right, all efforts are pointless... If you don't believe in yourself.",efforts
3400,"If love is just a word, then why does it hurt so much if you realize it isn't there?",love
3401,Family? Let me tell you what kind of link I have with them. They are just lumps of meat linked by hatred and murderous intent!,lumps
3402,"I understand now. Even if I must take the devil's fruit, I must gain power. I am an avenger.",avenger
3403,"Someday, I promise you, they will all watch as I change the world.",promise
